document_id,project_id,project_name,publish_date,outlet,title,author
JKPOST0020141007eaa70001g,P143,Manado–Bitung toll road,2014-10-14,The Jakarta Post,Govt kicks off Manado-Bitung toll road project,"Nadya Natahadibrata, The Jakarta Post,"
JKPOST0020141014eaae0001a,P003,Asian Infrastructure Investment Bank (AIIB),2014-10-18,The Jakarta Post,"A new bank for Asia, not China",
JKPOST0020141018eaai0000i,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-03,The Jakarta Post,Insight: APEC at 25: Relevance for the future global system,"1,061 words"
JKPOST0020141103eab300003,P029,General,2014-11-03,Tempo,"Indonesia, China to Cooperate on Railroad, Toll Road Construction",
TEMPOE0020141103eab30028l,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-06,Tempo,Indonesia Should Join Asian Infrastructure Bank,
TEMPOE0020141106eab6000ji,P029,General,2014-11-09,The Jakarta Post,"Jokowi on world stage, first stop Beijing","Rendi A. Witular and Hasyim Widhiarto, The Jakarta Post, Beijing and Jakarta"
JKPOST0020141109eab900003,P029,General,2014-11-10,The Jakarta Post,Jokowi asks more of China,"Rendi A. Witular, The Jakarta Post, Beijing"
JKPOST0020141110eaba00002,P029,General,2014-11-10,Tempo,Jokowi Invites Chinese Businessmen to Invest,
TEMPOE0020141110eaba00231,P029,General,2014-11-11,Tempo,Govt to Build 13 Industrial Areas by 2021,
TEMPOE0020141111eabb000ji,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-11,The Jakarta Post,Making Asian summits count,"1,155 words"
JKPOST0020141111eabb0000i,P029,General,2014-11-11,The Jakarta Post,Jokowi sets out infrastructure stall to court investors,"Rendi A. Witular, The Jakarta Post, Beijing"
JKPOST0020141111eabb00012,P029,General,2014-11-12,The Jakarta Post,Jokowi ushers in 'blak-blakan' diplomacy,"Rendi A. Witular, The Jakarta Post, Jakarta"
JKPOST0020141112eabc00004,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-12,The Jakarta Post,Should Indonesia join the AIIB ?,
JKPOST0020141112eabc0000n,P159,Morowali (biomass power plant),2014-11-12,The Jakarta Post,PLN subsidiary to build a 10 MW biomass power plant,
JKPOST0020141112eabc0001a,P029,General,2014-11-12,The Jakarta Post,S&P defaults Bumi's $700m bond rating,"Anggi M. Lubis , The Jakarta Post, Jakarta"
JKPOST0020141112eabc0001g,P029,General,2014-11-17,The Jakarta Post,Foreign friendships must benefit RI: Jokowi,"Rendi A. Witular , The Jakarta Post, Brisbane"
JKPOST0020141117eabh00003,P029,General,2014-11-26,The Jakarta Post,What the APEC and ASEAN summits mean for Indonesia,
JKPOST0020141126eabq00007,P029,General,2014-11-26,Tempo,Surya Paloh: What's wrong with being innovative?,
TEMPOE0020141126eabq001bb,P029,General,2014-11-27,The Jakarta Post,Bumi to have global restructuring after court protection,
JKPOST0020141127eabr0001g,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-30,Tempo,Indonesia Joins Asian Infrastructure Investment Bank,
TEMPOE0020141130eabu0012x,P029,General,2014-12-04,The Jakarta Post,Internationalization of the Renminbi,"1,221 words"
JKPOST0020141204eac40000t,P181,Morowali nickel smelter,2014-12-05,The Jakarta Post,Japan unlikely to file complaint on ore-export ban with WTO,"Linda Yulisman, The Jakarta Post, Jakarta"
JKPOST0020141205eac50001a,P147,Maritime Silk Road,2014-12-13,The Jakarta Post,Superimposition of China's 'silk road' and Indonesia's maritime fulcrum,"1,057 words"
JKPOST0020141213eacd0000t,P147,Maritime Silk Road,2014-12-15,The Jakarta Post,"Change, unchanged in China-ASEAN ties","1,220 words"
JKPOST0020141215eacf0000n,P003,Asian Infrastructure Investment Bank (AIIB),2014-12-17,The Jakarta Post,Editorial: Financing infrastructure,
JKPOST0020141217each0000k,P029,General,2014-12-17,The Jakarta Post,Banking on infrastructure: A lesson from China,"1,084 words"
JKPOST0020141217each0000l,P029,General,2014-12-17,The Jakarta Post,Analysis: The virtue of strengthening domestic palm-oil market,"1,018 words"
JKPOST0020141217each0001a,P143,Manado–Bitung toll road,2014-12-30,The Jakarta Post,Government to increase budget for road repairs,"Nadya Natahadibrata , The Jakarta Post, Jakarta"
JKPOST0020141230eacu0001b,P003,Asian Infrastructure Investment Bank (AIIB),2015-01-13,The Jakarta Post,ADB president pledges stronger support for Jokowi,"Satria Sambijantoro, The Jakarta Post, Jakarta"
JKPOST0020150113eb1d00014,P029,General,2015-01-21,The Jakarta Post,Chinese investors encouraged to realize RI investment plans,"Linda Yulisman, The Jakarta Post,"
JKPOST0020150121eb1l0001b,P029,General,2015-01-30,The Jakarta Post,Notable events in Jokowi's first hundred days,"1,152 words"
JKPOST0020150130eb1u00031,P173,Morowali industrial estate (nickel smelter),2015-02-17,The Jakarta Post,Industrial estate development requires over Rp 192 trillion,"Tama Salim, The Jakarta Post, Yogyakarta"
JKPOST0020150217eb2h00019,P029,General,2015-02-19,Tempo,Cameron Sends Chinese New Year Greetings,
TEMPOE0020150219eb2j000gq,P190,New Silk Road,2015-02-21,The Jakarta Post,Identifying Asian values for an integrated market,
JKPOST0020150221eb2l0001h,P009,Balikpapan–Samarinda toll road,2015-02-25,The Jakarta Post,Allocated Rp 9.8t for Kalimantan infrastructure,"Nadya Natahadibrata, The Jakarta Post, Jakarta"
JKPOST0020150225eb2p0001g,P029,General,2015-03-25,The Jakarta Post,Jokowi woos investors,
JKPOST0020150325eb3p0000o,P029,General,2015-03-27,The Jakarta Post,The Japan mission,
JKPOST0020150327eb3r0000s,P183,Morowali nickel smelter (Sulawesi Mining Investment),2015-03-31,The Jakarta Post,"From infrastructure to smelters, C. Sulawesi eyes Rp 20t projects","Linda Yulisman, The Jakarta Post, Jakarta"
JKPOST0020150331eb3v00015,P121,Jakarta–Bandung high-speed rail,2015-04-07,The Jakarta Post,Jokowi's visits to Japan and China: What's in it for us?,"1,151 words"
JKPOST0020150407eb470000m,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-09,The Jakarta Post,Japan may contribute $1.5 billion to China-led bank,
JKPOST0020150409eb490001d,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-12,Tempo,"Official: China-led AIIB will be Lean, Clean and Green",
TEMPOE0020150412eb4c000xd,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-15,The Jakarta Post,Asia's multilateralism and America's opposition to AIIB,
JKPOST0020150415eb4f0000u,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-18,The Jakarta Post,Year of global development and why it matters to Indonesia,"1,038 words"
JKPOST0020150418eb4i0000n,P029,General,2015-04-20,The Jakarta Post,'Information desk' to attract Chinese business people,"Grace D. Amianti, The Jakarta Post, Jakarta"
JKPOST0020150420eb4k00018,P029,General,2015-04-22,The Jakarta Post,"Japan, China relations and Indonesian foreign policy",
JKPOST0020150422eb4m0000i,P029,General,2015-04-22,Tempo,Indonesia Calls for New Financial Global Architecture,
TEMPOE0020150422eb4m00106,P029,General,2015-04-22,Tempo,BKPM Chairman: We launched a licensing revolution,
TEMPOE0020150422eb4m0028l,P017,Belt and Road Initiative,2015-04-23,The Jakarta Post,Note on priorities for the 2015 Bandung Conference,"1,137 words"
JKPOST0020150423eb4n0000p,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-23,The Jakarta Post,Indian-Indonesian camaraderie,
JKPOST0020150423eb4n0000r,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-24,Tempo,"Kalla: RI Will Preserve Ties with IMF, ADB, World Bank",
TEMPOE0020150424eb4o000dx,P029,General,2015-04-24,The Jakarta Post,Jokowi wins support for foreign policy speech,"Tama Salim and Bagus BT Saragih , The Jakarta Post, Jakarta"
JKPOST0020150424eb4o00015,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-25,The Jakarta Post,Equality key to realizing Bandung Spirit,"Bagus BT Saragih, The Jakarta Post, Bandung"
JKPOST0020150425eb4p00007,P029,General,2015-04-25,Tempo,"Jokowi's Economic Policies Side With China, Analyst Says",
TEMPOE0020150425eb4p000xf,P029,General,2015-04-27,Tempo,SOEs Get US$50bn Loan from Chinese Banks,
TEMPOE0020150427eb4r0018i,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-28,The Jakarta Post,"AIIB should focus on socially, environmentally friendly projects",
JKPOST0020150428eb4s0000j,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-28,The Jakarta Post,"'RI still needs WB, but does not want to be dictated'",
JKPOST0020150428eb4s00015,P029,General,2015-04-29,The Jakarta Post,Guarantees for Indonesia's electrification expansion risky,"1,187 words"
JKPOST0020150429eb4t0000h,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-29,The Jakarta Post,AIIB may take major role in RI projects,"Satria Sambijantoro, The Jakarta Post, Jakarta"
JKPOST0020150502eb5200018,P029,General,2015-05-04,The Jakarta Post,ADB ups lending and grant resources,"Vincent Lingga, The Jakarta Post, Baku, Azerbaijan"
JKPOST0020150504eb540000y,P029,General,2015-05-06,The Jakarta Post,Infrastructure problems: A lack of preparations,"Vincent Lingga, The Jakarta Post, Baku 1,002 words"
JKPOST0020150506eb560000l,P003,Asian Infrastructure Investment Bank (AIIB),2015-05-11,The Jakarta Post,"Ditching global financial organizations, welcoming AIIB",
JKPOST0020150511eb5b0000i,P003,Asian Infrastructure Investment Bank (AIIB),2015-05-12,The Jakarta Post,Making use of infrastructure institutions,
JKPOST0020150512eb5c0000g,P017,Belt and Road Initiative,2015-05-19,Tempo,CBA to Establish Asian Financial Cooperation Organization,
TEMPOE0020150519eb5j0020a,P180,Morowali nickel project,2015-05-23,The Jakarta Post,Mining firm accused of operating illegally,"Ruslan Sangadji, The Jakarta Post, Palu"
JKPOST0020150523eb5n0000a,P029,General,2015-05-26,Tempo,Kadin to Boost Growth in Eastern Indonesia,
TEMPOE0020150526eb5q000dx,P121,Jakarta–Bandung high-speed rail,2015-05-26,The Jakarta Post,"Commentary: Trawlers, bankers and engineers battle for Southeast Asia","Meidyatama Suryodiningrat , The Jakarta Post, Tokyo 1,101 words"
JKPOST0020150526eb5q0002w,P029,General,2015-06-01,The Jakarta Post,Has Jokowi put ASEAN on the sidelines?,"1,037 words"
JKPOST0020150601eb610000o,P001,AIIB,2015-06-04,The Jakarta Post,"The world order needs fixing, but how?","Endy Bayuni, The Jakarta Post, London"
